Company Name,Category,Website URL,Phone / WhatsApp,Email Address,Office Location,Overall Health Score (0-100),Audit Verdict,V1 Copyright,V2 Speed,V3 AI-SEO Schema,V4 WhatsApp CTA,V5 OpenGraph Preview,V6 Mobile Viewport,V7 Code Hygiene,V8 SSL Security,Critical Leaks Summary,Flick Advisory Pitch Offer
"Metropolitan Premium Properties","Real Estate Brokerage","https://metropolitan.realestate","+971 58 648 8888","info@metropolitan.realestate","Business Bay, Dubai","51","🔴 PRIME REDESIGN & AI-SEO CANDIDATE","⚠️ Missing Explicit Copyright","✅ Tesla-Fast Response (0.50s)","❌ Missing Schema.org JSON-LD (Invisible to ChatGPT & Google AI)","❌ Missing Direct wa.me WhatsApp Button","❌ Missing og:image (Shows Blank Gray Box on WhatsApp)","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Missing Schema.org Structured Data (Invisible to AI Search Engines) | Missing Semantic <h1> Tag | Missing 1-Click WhatsApp Quick-Chat CTA (Losing 60% Mobile Inquiries) | Broken WhatsApp Link Preview (Missing og:image preview card)","Complete Web Redesign & AI-SEO Glow-Up (AED 25,000 - 45,000 Upfront)"
"Biolite Aesthetic Clinic","Anti-Aging & Medical Spa","https://biolitedubai.com","+971 50 292 0086","concierge@biolitedubai.com","Umm Suqeim 2, Dubai","56","🔴 PRIME REDESIGN & AI-SEO CANDIDATE","⚠️ Missing Explicit Copyright","✅ Tesla-Fast Response (1.46s)","❌ Missing Schema.org JSON-LD (Invisible to ChatGPT & Google AI)","❌ Missing Direct wa.me WhatsApp Button","❌ Missing og:image (Shows Blank Gray Box on WhatsApp)","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Missing Schema.org Structured Data (Invisible to AI Search Engines) | Missing 1-Click WhatsApp Quick-Chat CTA (Losing 60% Mobile Inquiries) | Broken WhatsApp Link Preview (Missing og:image preview card)","Complete Web Redesign & AI-SEO Glow-Up (AED 25,000 - 45,000 Upfront)"
"Tania's Teahouse","Lifestyle Cafe & Events","https://taniasteahouse.com","+971 4 324 0021","hello@taniasteahouse.com","Dubai Hills Estate","61","🔴 PRIME REDESIGN & AI-SEO CANDIDATE","✅ Fresh Copyright (© 2025)","✅ Tesla-Fast Response (0.95s)","❌ Missing Schema.org JSON-LD (Invisible to ChatGPT & Google AI)","❌ Missing Direct wa.me WhatsApp Button","❌ Missing og:image (Shows Blank Gray Box on WhatsApp)","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Missing Schema.org Structured Data (Invisible to AI Search Engines) | Missing 1-Click WhatsApp Quick-Chat CTA (Losing 60% Mobile Inquiries) | Broken WhatsApp Link Preview (Missing og:image preview card)","Complete Web Redesign & AI-SEO Glow-Up (AED 25,000 - 45,000 Upfront)"
"White & Co Real Estate","Real Estate Brokerage","https://whiteandcogroup.com","+971 4 876 2333","marketing@whiteandcogroup.com","Motor City, Dubai","95","🟢 HIGH PERFORMANCE (Maintain & Scale)","⚠️ Missing Explicit Copyright","✅ Tesla-Fast Response (1.64s)","✅ Active Schema.org JSON-LD","✅ Direct WhatsApp CTA Integrated","✅ Rich OpenGraph Card Configured","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","","Performance Ads & 4K Video Creative Retainer (AED 15,000 - 25,000/mo)"
"Lucia Clinic Dubai","Aesthetic Dermatology","https://luciaclinic.com","+971 56 115 9194","info@luciaclinic.com","Jumeirah 2, Dubai","100","🟢 HIGH PERFORMANCE (Maintain & Scale)","✅ Fresh Copyright (© 2026)","✅ Tesla-Fast Response (0.30s)","✅ Active Schema.org JSON-LD","✅ Direct WhatsApp CTA Integrated","✅ Rich OpenGraph Card Configured","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","","Performance Ads & 4K Video Creative Retainer (AED 15,000 - 25,000/mo)"
"Nightjar Coffee Roasters","Artisanal F&B / Roastery","https://nightjar.coffee","+971 50 518 1768","info@nightjar.coffee","Alserkal Avenue, Al Quoz 1","75","🟡 CONVERSION & SPEED OPTIMIZATION CANDIDATE","⚠️ Missing Explicit Copyright","✅ Tesla-Fast Response (0.43s)","✅ Active Schema.org JSON-LD","❌ Missing Direct wa.me WhatsApp Button","✅ Rich OpenGraph Card Configured","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Missing Semantic <h1> Tag | Missing 1-Click WhatsApp Quick-Chat CTA (Losing 60% Mobile Inquiries)","Speed Optimization & WhatsApp Conversion Setup (AED 12,000 - 18,000)"
"Comptoir 102 Concept Store","Organic Dining & Boutique","https://comptoir102.com","+971 4 385 4555","contact@comptoir102.com","Jumeirah 1, Dubai","85","🟢 HIGH PERFORMANCE (Maintain & Scale)","❌ Outdated Copyright (© 2024)","✅ Tesla-Fast Response (0.73s)","✅ Active Schema.org JSON-LD","✅ Direct WhatsApp CTA Integrated","✅ Rich OpenGraph Card Configured","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Stale Copyright Year (© 2024)","Performance Ads & 4K Video Creative Retainer (AED 15,000 - 25,000/mo)"
"Dr. Roze BioHealth Clinics","Biological Dental Practice","https://drroze.com","+971 4 388 1388","contact@drroze.com","Jumeirah Beach Road","85","🟢 HIGH PERFORMANCE (Maintain & Scale)","❌ Outdated Copyright (© 2024)","✅ Tesla-Fast Response (0.92s)","✅ Active Schema.org JSON-LD","✅ Direct WhatsApp CTA Integrated","✅ Rich OpenGraph Card Configured","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Stale Copyright Year (© 2024)","Performance Ads & 4K Video Creative Retainer (AED 15,000 - 25,000/mo)"
"Seven Media Dubai","PR & Communications","https://sevenmedia.ae","+971 4 450 7888","info@sevenmedia.ae","Dubai Media City","71","🟡 CONVERSION & SPEED OPTIMIZATION CANDIDATE","⚠️ Missing Explicit Copyright","✅ Tesla-Fast Response (0.39s)","❌ Missing Schema.org JSON-LD (Invisible to ChatGPT & Google AI)","✅ Direct WhatsApp CTA Integrated","❌ Missing og:image (Shows Blank Gray Box on WhatsApp)","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Missing Schema.org Structured Data (Invisible to AI Search Engines) | Broken WhatsApp Link Preview (Missing og:image preview card)","Speed Optimization & WhatsApp Conversion Setup (AED 12,000 - 18,000)"
"The Luxury Closet","Pre-Owned Luxury D2C","https://theluxurycloset.com","+971 4 586 7800","marketing@theluxurycloset.com","Al Barsha 1, Dubai","82","🟢 HIGH PERFORMANCE (Maintain & Scale)","⚠️ Missing Explicit Copyright","⚠️ Moderate Speed Lag (3.56s)","✅ Active Schema.org JSON-LD","✅ Direct WhatsApp CTA Integrated","✅ Rich OpenGraph Card Configured","✅ Mobile Viewport Tag Active","✅ Modern JavaScript Architecture","✅ Secure HTTPS Verified","Missing Semantic <h1> Tag","Performance Ads & 4K Video Creative Retainer (AED 15,000 - 25,000/mo)"
