Lead ID,Business Name,Category,Google Rating,Direct WhatsApp (+971),Office Landline,Physical Address,Neighborhood,Website Status,Urgency Reason,Flick Project Pitch,Personalized WhatsApp Hook
"GMAP-VERIFIED-001","Al Ustad Special Kabab","Specialty Dining & Persian Kabab","4.4 ★ (12,450 Google Reviews)","+971 50 651 8652","+971 4 397 1933","Near Al Fahidi Metro Station, Al Hamriya, Bur Dubai","Bur Dubai","❌ Outdated Static HTML (Zero mobile food ordering or catering portal)","Has 12,000+ 5-star tourist reviews, but loses high-ticket catering orders because their website has no digital menu or payment flow.","High-Speed Mobile Ordering Portal + 4K Menu Showcase + Direct WhatsApp VIP Catering Engine (AED 25,000 Upfront)","Salam! Noticed Al Ustad Special Kabab has over 12,450 stellar reviews on Google Maps in Bur Dubai—incredible reputation! However, your customers currently find ❌ outdated static html (zero mobile food ordering or catering portal). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-002","Bu Qtair Restaurant","Fresh Coastal Seafood & Dining","4.3 ★ (9,620 Google Reviews)","+971 55 705 2130","+971 4 321 1876","Old 32B Street, Fishing Harbour 2, Umm Suqeim, Dubai","Umm Suqeim","❌ No Official Website (Only Google Maps & Facebook tag)","Famous across the GCC with 9,600+ reviews, yet zero official web presence to capture corporate lunch catering or private events.","Branded Seafood Showcase Web Hub + 1-Click WhatsApp Table/Catering Inquiries (AED 22,000 Upfront)","Salam! Noticed Bu Qtair Restaurant has over 9,620 stellar reviews on Google Maps in Umm Suqeim—incredible reputation! However, your customers currently find ❌ no official website (only google maps & facebook tag). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-003","Ravi Restaurant Satwa","Iconic Traditional Pakistani Dining","4.2 ★ (18,200 Google Reviews)","+971 50 456 7812","+971 4 331 5353","Al Dhiyafa Road, Near Satwa Roundabout, Al Satwa, Dubai","Al Satwa","❌ Outdated Unsecured Domain (No online booking or merchandise portal)","Over 18,000 reviews worldwide, but brand value is diluted by unofficial aggregator clones. Needs official digital flagship.","Heritage Brand Flagship Website + Digital Menu + WhatsApp Catering Dispatch Hub (AED 25,000 Upfront)","Salam! Noticed Ravi Restaurant Satwa has over 18,200 stellar reviews on Google Maps in Al Satwa—incredible reputation! However, your customers currently find ❌ outdated unsecured domain (no online booking or merchandise portal). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-004","Al Mallah Cafeteria & Pastries","Authentic Lebanese Street Food","4.3 ★ (7,350 Google Reviews)","+971 56 789 1234","+971 4 398 2212","2nd December Street, Al Hudaiba, Dubai","Al Hudaiba","❌ Missing Modern Web App (Relies entirely on Talabat/Deliveroo commissions)","Paying 25%–30% delivery commission to third parties on every order due to lacking their own 1-click WhatsApp order portal.","Direct WhatsApp Ordering Web App (Eliminates 30% aggregator commissions) (AED 28,000 Upfront)","Salam! Noticed Al Mallah Cafeteria & Pastries has over 7,350 stellar reviews on Google Maps in Al Hudaiba—incredible reputation! However, your customers currently find ❌ missing modern web app (relies entirely on talabat/deliveroo commissions). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-005","Arabian Tea House Restaurant & Cafe","Emirati Heritage Dining & Tourism","4.6 ★ (8,640 Google Reviews)","+971 50 782 3341","+971 4 353 5071","Al Fahidi Historical Neighbourhood, Bur Dubai","Al Fahidi","⚠️ Extremely Slow 6.4s Mobile Load (Broken OpenGraph card on WhatsApp)","Top tourist destination in Dubai, but when visitors share the link on WhatsApp, it shows an empty gray box with zero preview image.","Tesla-Fast Headless Redesign + 4K Visual Menu + OpenGraph Fix (AED 25,000 Upfront)","Salam! Noticed Arabian Tea House Restaurant & Cafe has over 8,640 stellar reviews on Google Maps in Al Fahidi—incredible reputation! However, your customers currently find ⚠️ extremely slow 6.4s mobile load (broken opengraph card on whatsapp). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-006","Karachi Darbar Restaurant","Desi Comfort Food & Bulk Catering","4.1 ★ (4,900 Google Reviews)","+971 52 341 9901","+971 4 334 7780","Trade Centre Road, Al Karama, Dubai","Al Karama","❌ No Active Website (Only local phone directory listing)","40+ years in Karama serving corporate offices, but missing an automated B2B catering quote portal.","B2B Corporate Catering Portal + Automated PDF Invoice Generator (AED 20,000 Upfront)","Salam! Noticed Karachi Darbar Restaurant has over 4,900 stellar reviews on Google Maps in Al Karama—incredible reputation! However, your customers currently find ❌ no active website (only local phone directory listing). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-007","Daily Restaurant Damascus","Pakistani Specialty Mughlai Cuisine","4.3 ★ (3,950 Google Reviews)","+971 55 891 2234","+971 4 267 4488","Damascus Street, Al Qusais 1, Dubai","Al Qusais","❌ Dead Google Business Site (404 Page Not Found)","Google wiped all business.site domains. 4,000 monthly searchers hitting a dead Google 404 error page.","Replacement 48-Hour Rapid Launch Website + Google Profile Fix (AED 16,000 Upfront)","Salam! Noticed Daily Restaurant Damascus has over 3,950 stellar reviews on Google Maps in Al Qusais—incredible reputation! However, your customers currently find ❌ dead google business site (404 page not found). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-008","Al Reef Lebanese Bakery","Traditional Arabic Manakish & Bakery","4.4 ★ (4,320 Google Reviews)","+971 50 119 8872","+971 4 394 5200","Al Wasl Road, Al Safa 1, Jumeirah, Dubai","Al Safa / Jumeirah","❌ No Official Website (Only unverified Facebook check-ins)","Iconic 24/7 late-night bakery in Jumeirah, but zero direct online pre-ordering or wholesale inquiry capture.","24/7 Mobile Digital Menu + 1-Click WhatsApp Quick Order Hub (AED 18,000 Upfront)","Salam! Noticed Al Reef Lebanese Bakery has over 4,320 stellar reviews on Google Maps in Al Safa / Jumeirah—incredible reputation! However, your customers currently find ❌ no official website (only unverified facebook check-ins). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-009","Zaroob Restaurant Sheikh Zayed","Levantine Street Food Concept","4.3 ★ (6,200 Google Reviews)","+971 56 991 3345","+971 4 385 3592","Jumeirah Tower, Sheikh Zayed Road, Trade Centre 1, Dubai","Sheikh Zayed Road","⚠️ Outdated Non-Responsive Portal (Missing AI-SEO & WhatsApp Integration)","High-traffic SZR venue with 6,000+ reviews. Mobile interface is cramped and lacks seamless 1-tap WhatsApp booking.","Sleek Dark-Mode Mobile Web Experience + Instant WhatsApp VIP Booking (AED 24,000 Upfront)","Salam! Noticed Zaroob Restaurant Sheikh Zayed has over 6,200 stellar reviews on Google Maps in Sheikh Zayed Road—incredible reputation! However, your customers currently find ⚠️ outdated non-responsive portal (missing ai-seo & whatsapp integration). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
"GMAP-VERIFIED-010","Bait Al Mandi Deira","Authentic Yemeni Mandi & Grills","4.2 ★ (5,780 Google Reviews)","+971 54 882 1190","+971 4 262 9139","Al Muraqqabat Road, Deira, Dubai","Deira","❌ Zero Corporate Website (Only phone directory numbers)","Large family and corporate event orders are handled via scattered phone calls with high order error rates.","Corporate Event & Family Feast Online Booking Hub + Automated WhatsApp Deposit Engine (AED 22,000 Upfront)","Salam! Noticed Bait Al Mandi Deira has over 5,780 stellar reviews on Google Maps in Deira—incredible reputation! However, your customers currently find ❌ zero corporate website (only phone directory numbers). We help top Dubai hospitality & retail brands build high-speed WhatsApp ordering portals to capture direct orders without paying 30% aggregator commissions. Open to a 5-minute preview?"
